source,target
"com.itsoninc.saas.adapters.sapphire.in.services.INAccountServiceClientImpl$AccountOperation","java.lang.Enum"
"com.itsoninc.saas.infrastructure.hash.HashProvider$HashProviderType","java.lang.Enum"
"target.generated-sources.ws.com.itsoninc.sapphire.in.RequestInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.MessageRequestType"
"target.generated-sources.ws.com.itsoninc.sapphire.in.MessageInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.MessageRequestType"
"com.itsoninc.saas.infrastructure.cache.ProtoBufCacheRequest$Builder","com.itsoninc.saas.infrastructure.cache.CacheRequest$Builder"
"com.itsoninc.saas.infrastructure.cache.StoreCacheRequest$Builder","com.itsoninc.saas.infrastructure.cache.CacheRequest$Builder"
"com.itsoninc.saas.adapter.jms.JMSMessageHandler","com.itsoninc.saas.adapter.jms.JMSQueueContext$JMSQueueContextCreator"
"com.itsoninc.saas.infrastructure.queue.QueueMessageExternalizer","com.itsoninc.saas.adapter.jms.JMSQueueContext$JMSQueueContextCreator"
"com.itsoninc.saas.adapter.jms.JMSQueueConfigurations$JMSQueueType","com.itsoninc.saas.adapter.jms.JMSQueueContext$JMSQueueContextCreator"
"com.itsoninc.saas.infrastructure.queue.PeekQueueRequest","com.itsoninc.saas.infrastructure.queue.QueueRequest"
"com.itsoninc.saas.infrastructure.queue.DequeueRequest","com.itsoninc.saas.infrastructure.queue.QueueRequest"
"com.itsoninc.saas.infrastructure.queue.EnqueueRequest","com.itsoninc.saas.infrastructure.queue.QueueRequest"
"com.itsoninc.saas.infrastructure.queue.handler.DequeueHandler$EnqueueDataIndexRequest","com.itsoninc.saas.infrastructure.queue.QueueRequest"
"com.itsoninc.saas.adapters.sapphire.in.services.WalletServices","com.itsoninc.saas.util.AbstractSoapServices"
"com.itsoninc.saas.adapters.sapphire.in.services.INTopUpServiceClientImpl","com.itsoninc.saas.util.AbstractSoapServices"
"com.itsoninc.saas.services.iop.InputFile","java.lang.AutoCloseable"
"com.itsoninc.saas.services.iop.OutputFile","java.lang.AutoCloseable"
"com.itsoninc.saas.services.iop.OutputFiles","java.lang.AutoCloseable"
"com.itsoninc.saas.adapter.connector.ServiceResponse","java.lang.AutoCloseable"
"target.generated-sources.ws.com.itsoninc.sapphire.in.RequestInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.VoiceCallRequestType"
"target.generated-sources.ws.com.itsoninc.sapphire.in.VoiceCallInfo","target.generated-sources.ws.com.itsoninc.sapphire.in.VoiceCallRequestType"
"com.itsoninc.sapphire.in.VoiceCallInfo","com.itsoninc.sapphire.in.VoiceCallRequestType"
"com.itsoninc.sapphire.in.RequestInfo","com.itsoninc.sapphire.in.VoiceCallRequestType"
"com.itsoninc.saas.services.subscriber.identity.SubscriberNetworkIdServiceImpl","com.itsoninc.saas.services.security.auth.RowLevelAuthFilter"
"com.itsoninc.saas.infrastructure.storage.TransactionContext","com.itsoninc.saas.infrastructure.storage.SaveOptions$SaveOptionsBuilder"
"com.itsoninc.saas.infrastructure.storage.PredicateCondition","com.itsoninc.saas.infrastructure.storage.SaveOptions$SaveOptionsBuilder"
"com.itsoninc.saas.infrastructure.services.enforcement.filter.AbstractPolicyFilter","com.itsoninc.saas.infrastructure.services.enforcement.filter.PolicyFilter"
"com.google.common.base.Predicate","com.itsoninc.saas.services.container.servlet.validator.HtmlSanitizer"
"com.itsoninc.saas.services.iop.writer.UsageWriteFilter","com.itsoninc.saas.services.iop.writer.WriteFilter"
"com.itsoninc.saas.services.notify.provider.email.smtp.SMTPEmailProvider","com.itsoninc.saas.services.notify.provider.email.smtp.SMTPEmailProvider$1"
"com.itsoninc.saas.services.context.AbstractServiceContextCreator","com.itsoninc.saas.services.context.ServiceContextCreator"
